id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
1500000US250250107013,"Block Group 3, Census Tract 107.01, Suffolk County, Massachusetts",671,117,571,118,11,10,0,12,61,50,0,12,10,15,18,20,0,12,18,20
1500000US250251707023,"Block Group 3, Census Tract 1707.02, Suffolk County, Massachusetts",1711,425,1117,426,107,177,0,12,373,230,0,12,60,99,54,87,0,12,54,87
1500000US250250922002,"Block Group 2, Census Tract 922, Suffolk County, Massachusetts",906,316,205,129,549,280,0,12,142,167,0,12,10,17,0,12,0,12,0,12
1500000US250251304062,"Block Group 2, Census Tract 1304.06, Suffolk County, Massachusetts",2862,613,1417,317,1053,620,0,12,235,135,0,12,49,67,108,87,20,35,88,80
1500000US250250002022,"Block Group 2, Census Tract 2.02, Suffolk County, Massachusetts",963,219,805,216,38,53,0,12,113,94,0,12,0,12,7,12,0,12,7,12
1500000US250251001003,"Block Group 3, Census Tract 1001, Suffolk County, Massachusetts",1610,695,132,207,1431,682,0,12,0,12,0,12,38,57,9,17,0,12,9,17
1500000US250259807001,"Block Group 1, Census Tract 9807, Suffolk County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250705001,"Block Group 1, Census Tract 705, Suffolk County, Massachusetts",1935,340,1631,305,16,25,0,12,239,160,0,12,0,12,49,47,0,12,49,47
1500000US250251705022,"Block Group 2, Census Tract 1705.02, Suffolk County, Massachusetts",1635,184,1362,161,34,40,0,12,113,123,0,12,10,14,116,100,0,12,116,100
1500000US250251303005,"Block Group 5, Census Tract 1303, Suffolk County, Massachusetts",766,210,760,211,0,12,0,12,6,10,0,12,0,12,0,12,0,12,0,12
1500000US250250707002,"Block Group 2, Census Tract 707, Suffolk County, Massachusetts",1482,258,904,219,328,151,0,12,164,148,0,12,24,37,62,60,0,12,62,60
1500000US250250918003,"Block Group 3, Census Tract 918, Suffolk County, Massachusetts",936,337,56,50,761,287,0,12,0,12,0,12,112,157,7,11,0,12,7,11
1500000US250251304041,"Block Group 1, Census Tract 1304.04, Suffolk County, Massachusetts",2394,457,1553,478,454,234,0,12,236,77,0,12,141,183,10,17,0,12,10,17
1500000US250259816001,"Block Group 1, Census Tract 9816, Suffolk County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250701014,"Block Group 4, Census Tract 701.01, Suffolk County, Massachusetts",1877,378,1394,325,53,42,0,12,302,139,0,12,55,44,73,68,7,13,66,68
1500000US250250805002,"Block Group 2, Census Tract 805, Suffolk County, Massachusetts",2107,340,375,168,978,293,0,12,37,44,0,12,702,281,15,24,0,12,15,24
1500000US250251603002,"Block Group 2, Census Tract 1603, Suffolk County, Massachusetts",714,309,375,230,92,97,0,12,0,12,0,12,56,69,191,183,0,12,191,183
1500000US250250108023,"Block Group 3, Census Tract 108.02, Suffolk County, Massachusetts",646,114,599,123,0,12,0,12,47,41,0,12,0,12,0,12,0,12,0,12
1500000US250250005044,"Block Group 4, Census Tract 5.04, Suffolk County, Massachusetts",783,331,634,303,61,70,0,12,59,76,0,12,0,12,29,48,0,12,29,48
1500000US250250007043,"Block Group 3, Census Tract 7.04, Suffolk County, Massachusetts",1234,365,758,216,16,25,0,12,437,314,0,12,0,12,23,28,0,12,23,28
1500000US250251003003,"Block Group 3, Census Tract 1003, Suffolk County, Massachusetts",817,311,0,12,572,233,0,12,64,99,0,12,0,12,181,227,77,99,104,132
1500000US250250607001,"Block Group 1, Census Tract 607, Suffolk County, Massachusetts",1161,197,218,108,534,218,0,12,59,55,0,12,221,141,129,135,1,3,128,134
1500000US250250906001,"Block Group 1, Census Tract 906, Suffolk County, Massachusetts",1173,296,215,138,722,195,5,11,93,126,0,12,134,105,4,10,0,12,4,10
1500000US250250601014,"Block Group 4, Census Tract 601.01, Suffolk County, Massachusetts",768,146,681,160,33,20,0,12,49,74,0,12,0,12,5,10,0,12,5,10
1500000US250250820001,"Block Group 1, Census Tract 820, Suffolk County, Massachusetts",1558,406,306,303,1164,339,0,12,11,16,0,12,17,33,60,78,0,12,60,78
1500000US250250923001,"Block Group 1, Census Tract 923, Suffolk County, Massachusetts",771,220,131,114,569,214,18,28,33,45,0,12,4,6,16,24,0,12,16,24
1500000US250250507002,"Block Group 2, Census Tract 507, Suffolk County, Massachusetts",1607,431,891,319,56,64,0,12,37,52,0,12,16,27,607,356,0,12,607,356
1500000US250250701012,"Block Group 2, Census Tract 701.01, Suffolk County, Massachusetts",652,285,250,166,49,69,0,12,336,197,0,12,17,29,0,12,0,12,0,12
1500000US250251706012,"Block Group 2, Census Tract 1706.01, Suffolk County, Massachusetts",1333,363,1115,358,0,12,14,21,81,98,0,12,123,198,0,12,0,12,0,12
1500000US250250610003,"Block Group 3, Census Tract 610, Suffolk County, Massachusetts",592,203,372,191,82,83,0,12,65,97,0,12,62,74,11,18,0,12,11,18
1500000US250250911002,"Block Group 2, Census Tract 911, Suffolk County, Massachusetts",980,211,706,192,62,66,0,12,127,114,0,12,0,12,85,75,0,12,85,75
1500000US250251202012,"Block Group 2, Census Tract 1202.01, Suffolk County, Massachusetts",2028,325,1401,307,154,85,43,70,42,53,0,12,288,157,100,74,14,22,86,71
1500000US250250304002,"Block Group 2, Census Tract 304, Suffolk County, Massachusetts",1096,192,1045,185,10,16,0,12,0,12,0,12,25,29,16,24,0,12,16,24
1500000US250250812002,"Block Group 2, Census Tract 812, Suffolk County, Massachusetts",1427,328,728,212,130,99,0,12,204,145,0,12,277,203,88,81,0,12,88,81
1500000US250251008005,"Block Group 5, Census Tract 1008, Suffolk County, Massachusetts",974,387,769,350,139,161,0,12,66,116,0,12,0,12,0,12,0,12,0,12
1500000US250251601014,"Block Group 4, Census Tract 1601.01, Suffolk County, Massachusetts",1481,588,674,364,30,34,0,12,0,12,0,12,95,104,682,530,0,12,682,530
1500000US250251605023,"Block Group 3, Census Tract 1605.02, Suffolk County, Massachusetts",1325,452,590,259,189,202,0,12,9,14,0,12,62,61,475,326,26,38,449,325
1500000US250251703002,"Block Group 2, Census Tract 1703, Suffolk County, Massachusetts",923,465,773,483,119,114,0,12,4,11,0,12,0,12,27,42,0,12,27,42
1500000US250251005003,"Block Group 3, Census Tract 1005, Suffolk County, Massachusetts",1605,630,587,400,771,479,0,12,247,210,0,12,0,12,0,12,0,12,0,12
1500000US250250102033,"Block Group 3, Census Tract 102.03, Suffolk County, Massachusetts",1650,231,946,240,66,65,0,12,576,200,0,12,33,18,29,31,13,23,16,19
1500000US250250510003,"Block Group 3, Census Tract 510, Suffolk County, Massachusetts",1281,397,881,281,0,12,0,12,64,61,13,24,17,24,306,222,94,108,212,194
1500000US250251702001,"Block Group 1, Census Tract 1702, Suffolk County, Massachusetts",991,252,828,214,0,12,0,12,11,17,0,12,133,136,19,30,0,12,19,30
1500000US250250922001,"Block Group 1, Census Tract 922, Suffolk County, Massachusetts",877,294,276,109,244,147,0,12,239,230,0,12,109,139,9,13,0,12,9,13
1500000US250250901004,"Block Group 4, Census Tract 901, Suffolk County, Massachusetts",1139,341,23,35,771,335,0,12,66,79,0,12,272,244,7,12,0,12,7,12
1500000US250250511012,"Block Group 2, Census Tract 511.01, Suffolk County, Massachusetts",1949,574,1022,383,33,36,0,12,394,319,0,12,150,182,350,269,111,121,239,279
1500000US250250920003,"Block Group 3, Census Tract 920, Suffolk County, Massachusetts",900,382,318,317,528,223,0,12,0,12,0,12,0,12,54,86,0,12,54,86
1500000US250251006011,"Block Group 1, Census Tract 1006.01, Suffolk County, Massachusetts",1231,346,523,226,194,220,0,12,352,275,0,12,162,193,0,12,0,12,0,12
1500000US250250817003,"Block Group 3, Census Tract 817, Suffolk County, Massachusetts",829,376,57,67,584,336,17,28,0,12,0,12,140,144,31,48,31,48,0,12
1500000US250251803013,"Block Group 3, Census Tract 1803.01, Suffolk County, Massachusetts",898,240,883,244,0,12,0,12,5,12,0,12,0,12,10,15,0,12,10,15
1500000US250250104032,"Block Group 2, Census Tract 104.03, Suffolk County, Massachusetts",886,172,641,194,31,36,0,12,117,80,0,12,97,91,0,12,0,12,0,12
1500000US250251004001,"Block Group 1, Census Tract 1004, Suffolk County, Massachusetts",1625,435,326,226,774,353,0,12,438,282,0,12,0,12,87,127,87,127,0,12
1500000US250251707024,"Block Group 4, Census Tract 1707.02, Suffolk County, Massachusetts",1474,579,939,505,0,12,0,12,263,276,0,12,64,104,208,240,123,199,85,128
1500000US250250808012,"Block Group 2, Census Tract 808.01, Suffolk County, Massachusetts",1813,247,518,201,609,177,0,12,295,92,0,12,295,218,96,78,43,54,53,57
1500000US250251701002,"Block Group 2, Census Tract 1701, Suffolk County, Massachusetts",1309,382,1089,339,220,233,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250251201052,"Block Group 2, Census Tract 1201.05, Suffolk County, Massachusetts",1064,123,942,131,65,36,0,12,26,23,0,12,0,12,31,30,0,12,31,30
1500000US250250709002,"Block Group 2, Census Tract 709, Suffolk County, Massachusetts",983,283,273,118,525,240,0,12,27,33,0,12,123,109,35,39,0,12,35,39
1500000US250251404006,"Block Group 6, Census Tract 1404, Suffolk County, Massachusetts",2486,661,427,241,1852,613,0,12,20,32,0,12,0,12,187,243,0,12,187,243
1500000US250250907004,"Block Group 4, Census Tract 907, Suffolk County, Massachusetts",531,185,515,184,0,12,0,12,0,12,0,12,0,12,16,18,0,12,16,18
1500000US250251303003,"Block Group 3, Census Tract 1303, Suffolk County, Massachusetts",639,215,615,214,24,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250509011,"Block Group 1, Census Tract 509.01, Suffolk County, Massachusetts",1440,485,884,330,0,12,0,12,11,16,0,12,181,235,364,350,0,12,364,350
1500000US250250602001,"Block Group 1, Census Tract 602, Suffolk County, Massachusetts",896,213,885,209,1,4,0,12,0,12,0,12,6,16,4,7,4,7,0,12
1500000US250250819002,"Block Group 2, Census Tract 819, Suffolk County, Massachusetts",813,200,110,130,618,199,0,12,23,37,0,12,29,47,33,53,0,12,33,53
1500000US250251001006,"Block Group 6, Census Tract 1001, Suffolk County, Massachusetts",1541,356,282,211,1021,298,0,12,0,12,0,12,39,63,199,185,84,136,115,188
1500000US250250107023,"Block Group 3, Census Tract 107.02, Suffolk County, Massachusetts",1075,184,999,178,22,24,0,12,22,19,0,12,0,12,32,37,24,36,8,10
1500000US250250301002,"Block Group 2, Census Tract 301, Suffolk County, Massachusetts",970,120,930,118,0,12,16,28,11,16,0,12,13,20,0,12,0,12,0,12
1500000US250250006012,"Block Group 2, Census Tract 6.01, Suffolk County, Massachusetts",1238,223,794,196,44,43,0,12,324,194,0,12,69,78,7,12,0,12,7,12
1500000US250250503001,"Block Group 1, Census Tract 503, Suffolk County, Massachusetts",671,189,455,161,37,28,0,12,12,14,0,12,23,40,144,160,17,28,127,155
1500000US250250915002,"Block Group 2, Census Tract 915, Suffolk County, Massachusetts",1922,355,93,62,1298,333,0,12,28,44,0,12,295,183,208,159,29,45,179,154
1500000US250251105022,"Block Group 2, Census Tract 1105.02, Suffolk County, Massachusetts",2413,496,1618,405,439,166,7,12,10,16,0,12,150,122,189,197,9,14,180,197
1500000US250251105013,"Block Group 3, Census Tract 1105.01, Suffolk County, Massachusetts",1084,253,854,179,34,54,0,12,0,12,0,12,135,132,61,117,0,12,61,117
1500000US250250701018,"Block Group 8, Census Tract 701.01, Suffolk County, Massachusetts",420,151,361,154,20,26,0,12,35,40,0,12,0,12,4,21,0,12,4,21
1500000US250251604002,"Block Group 2, Census Tract 1604, Suffolk County, Massachusetts",1847,275,770,215,292,163,18,26,22,36,0,12,122,83,623,211,0,12,623,211
1500000US250250712011,"Block Group 1, Census Tract 712.01, Suffolk County, Massachusetts",2096,397,1400,250,172,113,14,32,346,160,0,12,60,59,104,92,0,12,104,92
1500000US250250501011,"Block Group 1, Census Tract 501.01, Suffolk County, Massachusetts",2172,539,1310,470,41,31,0,12,222,172,0,12,56,75,543,335,0,12,543,335
1500000US250250904002,"Block Group 2, Census Tract 904, Suffolk County, Massachusetts",2070,744,135,132,1333,516,0,12,0,12,0,12,360,399,242,348,12,20,230,349
1500000US250250817002,"Block Group 2, Census Tract 817, Suffolk County, Massachusetts",739,262,45,45,591,229,0,12,14,21,0,12,89,104,0,12,0,12,0,12
1500000US250250605015,"Block Group 5, Census Tract 605.01, Suffolk County, Massachusetts",554,152,499,139,0,12,0,12,55,56,0,12,0,12,0,12,0,12,0,12
1500000US250251005001,"Block Group 1, Census Tract 1005, Suffolk County, Massachusetts",1089,370,96,144,572,349,0,12,417,278,0,12,2,4,2,4,0,12,2,4
1500000US250251009002,"Block Group 2, Census Tract 1009, Suffolk County, Massachusetts",626,270,176,129,317,205,9,16,124,161,0,12,0,12,0,12,0,12,0,12
1500000US250251304061,"Block Group 1, Census Tract 1304.06, Suffolk County, Massachusetts",2903,517,534,235,2028,583,0,12,74,109,0,12,190,201,77,95,0,12,77,95
1500000US250250102043,"Block Group 3, Census Tract 102.04, Suffolk County, Massachusetts",818,162,417,148,32,50,0,12,310,109,0,12,38,41,21,26,16,25,5,8
1500000US250251404002,"Block Group 2, Census Tract 1404, Suffolk County, Massachusetts",1078,382,24,37,1028,365,0,12,0,12,0,12,0,12,26,39,0,12,26,39
1500000US250251401021,"Block Group 1, Census Tract 1401.02, Suffolk County, Massachusetts",1719,400,509,271,1011,381,0,12,26,29,0,12,118,101,55,44,0,12,55,44
1500000US250251006014,"Block Group 4, Census Tract 1006.01, Suffolk County, Massachusetts",2183,479,839,412,689,342,0,12,437,340,0,12,0,12,218,263,148,248,70,90
1500000US250250917003,"Block Group 3, Census Tract 917, Suffolk County, Massachusetts",686,196,65,59,440,206,0,12,0,12,0,12,135,112,46,75,0,12,46,75
1500000US250250104053,"Block Group 3, Census Tract 104.05, Suffolk County, Massachusetts",651,129,267,81,124,47,0,12,208,78,0,12,38,31,14,18,7,10,7,15
1500000US250251701001,"Block Group 1, Census Tract 1701, Suffolk County, Massachusetts",1536,464,1307,418,107,107,0,12,0,12,0,12,0,12,122,187,0,12,122,187
1500000US250250810014,"Block Group 4, Census Tract 810.01, Suffolk County, Massachusetts",959,260,536,256,177,150,0,12,240,201,0,12,0,12,6,11,0,12,6,11
1500000US250251204001,"Block Group 1, Census Tract 1204, Suffolk County, Massachusetts",728,256,487,175,84,65,0,12,75,90,0,12,0,12,82,84,12,19,70,81
1500000US250250202002,"Block Group 2, Census Tract 202, Suffolk County, Massachusetts",1122,209,943,193,36,59,0,12,111,122,0,12,32,43,0,12,0,12,0,12
1500000US250250503002,"Block Group 2, Census Tract 503, Suffolk County, Massachusetts",1819,207,1055,207,277,139,10,16,217,128,0,12,67,44,193,129,5,7,188,126
1500000US250250506002,"Block Group 2, Census Tract 506, Suffolk County, Massachusetts",1348,374,741,197,158,130,0,12,20,24,0,12,14,23,415,310,0,12,415,310
1500000US250250819004,"Block Group 4, Census Tract 819, Suffolk County, Massachusetts",990,359,168,237,530,217,0,12,0,12,0,12,25,40,267,272,130,208,137,204
1500000US250259813002,"Block Group 2, Census Tract 9813, Suffolk County, Massachusetts",400,87,349,79,14,15,0,12,18,18,0,12,0,12,19,22,0,12,19,22
1500000US250250108012,"Block Group 2, Census Tract 108.01, Suffolk County, Massachusetts",1142,232,1109,232,13,19,0,12,8,13,0,12,2,6,10,17,0,12,10,17
1500000US250250605012,"Block Group 2, Census Tract 605.01, Suffolk County, Massachusetts",1411,329,1278,319,27,43,0,12,81,100,0,12,0,12,25,37,0,12,25,37
1500000US250251707021,"Block Group 1, Census Tract 1707.02, Suffolk County, Massachusetts",664,319,395,244,151,158,0,12,0,12,0,12,0,12,118,100,21,31,97,94
1500000US250251801013,"Block Group 3, Census Tract 1801.01, Suffolk County, Massachusetts",2302,538,2093,502,56,63,0,12,0,12,0,12,104,124,49,53,22,35,27,39
1500000US250251303004,"Block Group 4, Census Tract 1303, Suffolk County, Massachusetts",1334,347,934,309,32,36,0,12,246,110,0,12,114,180,8,14,0,12,8,14
1500000US250250813001,"Block Group 1, Census Tract 813, Suffolk County, Massachusetts",1920,574,448,308,572,329,0,12,113,145,0,12,545,332,242,173,110,146,132,116
1500000US250251101035,"Block Group 5, Census Tract 1101.03, Suffolk County, Massachusetts",1452,480,996,337,142,146,0,12,149,110,0,12,16,26,149,201,0,12,149,201
1500000US250251401022,"Block Group 2, Census Tract 1401.02, Suffolk County, Massachusetts",1469,295,839,249,507,284,0,12,11,16,0,12,88,128,24,28,0,12,24,28
1500000US250250817001,"Block Group 1, Census Tract 817, Suffolk County, Massachusetts",455,187,12,21,415,181,0,12,0,12,0,12,0,12,28,44,0,12,28,44
1500000US250250005032,"Block Group 2, Census Tract 5.03, Suffolk County, Massachusetts",1330,127,1030,139,34,36,0,12,200,102,0,12,44,48,22,23,0,12,22,23
1500000US250250203032,"Block Group 2, Census Tract 203.03, Suffolk County, Massachusetts",1771,338,1137,275,304,118,8,13,121,91,0,12,158,53,43,40,0,12,43,40
1500000US250250903002,"Block Group 2, Census Tract 903, Suffolk County, Massachusetts",1648,380,402,372,835,328,0,12,0,12,0,12,411,247,0,12,0,12,0,12
1500000US250251803012,"Block Group 2, Census Tract 1803.01, Suffolk County, Massachusetts",824,224,804,225,0,12,0,12,0,12,0,12,20,32,0,12,0,12,0,12
1500000US250251802001,"Block Group 1, Census Tract 1802, Suffolk County, Massachusetts",1345,371,1119,313,14,23,0,12,26,30,0,12,131,165,55,68,0,12,55,68
1500000US250250703004,"Block Group 4, Census Tract 703, Suffolk County, Massachusetts",1431,320,1048,237,48,57,0,12,186,105,0,12,40,44,109,151,30,42,79,109
1500000US250251802002,"Block Group 2, Census Tract 1802, Suffolk County, Massachusetts",691,214,691,214,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250251205003,"Block Group 3, Census Tract 1205, Suffolk County, Massachusetts",793,203,362,125,183,127,0,12,119,99,0,12,129,81,0,12,0,12,0,12
1500000US250250801001,"Block Group 1, Census Tract 801, Suffolk County, Massachusetts",2013,343,468,138,937,200,13,15,35,30,0,12,535,201,25,21,15,17,10,14
1500000US250251007005,"Block Group 5, Census Tract 1007, Suffolk County, Massachusetts",535,162,527,162,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12
1500000US250259815011,"Block Group 1, Census Tract 9815.01, Suffolk County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250702003,"Block Group 3, Census Tract 702, Suffolk County, Massachusetts",3229,395,1932,307,45,37,0,12,1130,234,0,12,8,17,114,59,10,20,104,56
1500000US250250804012,"Block Group 2, Census Tract 804.01, Suffolk County, Massachusetts",1723,335,273,163,732,262,0,12,18,27,0,12,548,228,152,134,0,12,152,134
1500000US250250003021,"Block Group 1, Census Tract 3.02, Suffolk County, Massachusetts",1819,303,1218,253,157,137,0,12,167,87,45,46,189,120,43,44,10,16,33,42
1500000US250250923002,"Block Group 2, Census Tract 923, Suffolk County, Massachusetts",643,205,147,123,437,190,26,38,0,12,0,12,24,38,9,12,0,12,9,12
1500000US250251402022,"Block Group 2, Census Tract 1402.02, Suffolk County, Massachusetts",1719,521,359,179,869,357,0,12,0,12,0,12,461,410,30,48,0,12,30,48
1500000US250251403005,"Block Group 5, Census Tract 1403, Suffolk County, Massachusetts",1473,424,376,311,780,356,0,12,38,45,0,12,196,235,83,155,0,12,83,155
1500000US250251707022,"Block Group 2, Census Tract 1707.02, Suffolk County, Massachusetts",926,415,616,336,70,69,0,12,64,100,0,12,0,12,176,272,0,12,176,272
1500000US250251402023,"Block Group 3, Census Tract 1402.02, Suffolk County, Massachusetts",1351,336,621,190,307,211,0,12,67,73,0,12,274,283,82,99,0,12,82,99
1500000US250250919004,"Block Group 4, Census Tract 919, Suffolk County, Massachusetts",672,229,38,40,597,209,0,12,0,12,0,12,20,31,17,25,17,25,0,12
1500000US250250005041,"Block Group 1, Census Tract 5.04, Suffolk County, Massachusetts",1372,386,762,266,39,44,64,98,431,328,0,12,0,12,76,104,0,12,76,104
1500000US250250101043,"Block Group 3, Census Tract 101.04, Suffolk County, Massachusetts",1193,200,779,170,12,25,0,12,246,120,0,12,44,44,112,102,0,12,112,102
1500000US250250904004,"Block Group 4, Census Tract 904, Suffolk County, Massachusetts",845,414,26,53,582,284,0,12,0,12,0,12,181,280,56,96,0,12,56,96
1500000US250251702003,"Block Group 3, Census Tract 1702, Suffolk County, Massachusetts",959,525,652,454,86,94,0,12,0,12,0,12,0,12,221,348,0,12,221,348
1500000US250250901005,"Block Group 5, Census Tract 901, Suffolk County, Massachusetts",919,331,36,22,821,338,0,12,0,12,0,12,62,92,0,12,0,12,0,12
1500000US250251403004,"Block Group 4, Census Tract 1403, Suffolk County, Massachusetts",913,447,222,165,615,417,0,12,0,12,0,12,26,38,50,74,50,74,0,12
1500000US250250108022,"Block Group 2, Census Tract 108.02, Suffolk County, Massachusetts",1401,210,1265,226,7,14,0,12,100,63,0,12,12,19,17,17,0,12,17,17
1500000US250250404012,"Block Group 2, Census Tract 404.01, Suffolk County, Massachusetts",837,221,686,170,27,40,0,12,34,32,0,12,0,12,90,94,0,12,90,94
1500000US250250504002,"Block Group 2, Census Tract 504, Suffolk County, Massachusetts",1976,311,1593,336,31,28,15,22,24,17,0,12,125,99,188,106,42,41,146,102
1500000US250250904003,"Block Group 3, Census Tract 904, Suffolk County, Massachusetts",1032,330,59,58,737,285,0,12,127,96,0,12,0,12,109,144,109,144,0,12
1500000US250251009004,"Block Group 4, Census Tract 1009, Suffolk County, Massachusetts",518,302,0,12,490,299,0,12,28,43,0,12,0,12,0,12,0,12,0,12
1500000US250250510002,"Block Group 2, Census Tract 510, Suffolk County, Massachusetts",1162,347,638,248,43,48,0,12,177,154,0,12,29,45,275,244,47,71,228,223
1500000US250251105011,"Block Group 1, Census Tract 1105.01, Suffolk County, Massachusetts",1235,324,992,266,1,5,0,12,18,26,0,12,213,248,11,16,0,12,11,16
1500000US250251011011,"Block Group 1, Census Tract 1011.01, Suffolk County, Massachusetts",1018,448,28,41,806,443,0,12,0,12,0,12,110,147,74,110,74,110,0,12
1500000US250250817005,"Block Group 5, Census Tract 817, Suffolk County, Massachusetts",1217,441,199,127,682,239,283,382,0,12,0,12,26,48,27,43,27,43,0,12
1500000US250251604001,"Block Group 1, Census Tract 1604, Suffolk County, Massachusetts",1365,253,701,164,37,26,0,12,30,34,0,12,164,124,433,193,0,12,433,193
1500000US250250706002,"Block Group 2, Census Tract 706, Suffolk County, Massachusetts",1338,287,1097,271,128,118,0,12,56,48,0,12,0,12,57,58,0,12,57,58
1500000US250251606012,"Block Group 2, Census Tract 1606.01, Suffolk County, Massachusetts",2259,391,1246,374,228,186,0,12,26,37,0,12,175,146,584,360,55,62,529,350
1500000US250251605012,"Block Group 2, Census Tract 1605.01, Suffolk County, Massachusetts",772,318,496,270,61,61,0,12,0,12,0,12,89,74,126,127,0,12,126,127
1500000US250250007042,"Block Group 2, Census Tract 7.04, Suffolk County, Massachusetts",822,202,449,160,33,53,0,12,298,192,0,12,19,30,23,28,0,12,23,28
1500000US250250002012,"Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts",665,217,571,201,0,12,0,12,86,66,0,12,0,12,8,12,8,12,0,12
1500000US250251008002,"Block Group 2, Census Tract 1008, Suffolk County, Massachusetts",1162,386,720,321,167,165,0,12,121,128,0,12,69,57,85,131,0,12,85,131
1500000US250250712012,"Block Group 2, Census Tract 712.01, Suffolk County, Massachusetts",1638,301,400,230,555,175,0,12,225,153,0,12,286,185,172,119,28,22,144,107
1500000US250251101036,"Block Group 6, Census Tract 1101.03, Suffolk County, Massachusetts",819,347,757,350,46,72,0,12,0,12,0,12,16,28,0,12,0,12,0,12
1500000US250250401002,"Block Group 2, Census Tract 401, Suffolk County, Massachusetts",1424,217,1401,220,0,12,0,12,23,26,0,12,0,12,0,12,0,12,0,12
1500000US250251708003,"Block Group 3, Census Tract 1708, Suffolk County, Massachusetts",1069,445,1068,445,0,12,0,12,1,2,0,12,0,12,0,12,0,12,0,12
1500000US250250108021,"Block Group 1, Census Tract 108.02, Suffolk County, Massachusetts",1059,204,903,192,10,15,0,12,69,48,0,12,54,55,23,25,0,12,23,25
1500000US250250907002,"Block Group 2, Census Tract 907, Suffolk County, Massachusetts",1154,244,922,241,46,47,0,12,75,61,0,12,97,115,14,18,0,12,14,18
1500000US250250920002,"Block Group 2, Census Tract 920, Suffolk County, Massachusetts",1553,329,231,102,961,290,35,55,109,114,0,12,194,172,23,37,0,12,23,37
1500000US250250003011,"Block Group 1, Census Tract 3.01, Suffolk County, Massachusetts",631,255,414,225,79,100,0,12,44,43,0,12,94,117,0,12,0,12,0,12
1500000US250250007041,"Block Group 1, Census Tract 7.04, Suffolk County, Massachusetts",1746,412,1097,239,93,93,7,29,411,291,0,12,113,186,25,30,0,12,25,30
1500000US250250915003,"Block Group 3, Census Tract 915, Suffolk County, Massachusetts",1229,456,159,129,549,366,0,12,185,168,0,12,336,307,0,12,0,12,0,12
1500000US250250104052,"Block Group 2, Census Tract 104.05, Suffolk County, Massachusetts",2320,238,1520,204,243,134,0,12,342,93,10,19,105,64,100,56,6,12,94,56
1500000US250250916003,"Block Group 3, Census Tract 916, Suffolk County, Massachusetts",396,238,79,79,48,45,0,12,269,238,0,12,0,12,0,12,0,12,0,12
1500000US250251401024,"Block Group 4, Census Tract 1401.02, Suffolk County, Massachusetts",1439,262,456,137,775,235,0,12,19,28,0,12,152,153,37,43,24,39,13,22
1500000US250251606021,"Block Group 1, Census Tract 1606.02, Suffolk County, Massachusetts",1619,457,795,379,233,131,0,12,95,88,0,12,91,119,405,269,12,20,393,266
1500000US250250912003,"Block Group 3, Census Tract 912, Suffolk County, Massachusetts",652,246,346,156,235,172,0,12,4,9,0,12,0,12,67,49,27,38,40,37
1500000US250250806012,"Block Group 2, Census Tract 806.01, Suffolk County, Massachusetts",736,194,128,58,493,191,0,12,0,12,0,12,82,68,33,38,0,12,33,38
1500000US250251011012,"Block Group 2, Census Tract 1011.01, Suffolk County, Massachusetts",1411,393,11,18,1347,396,0,12,0,12,0,12,0,12,53,62,39,58,14,24
1500000US250250606001,"Block Group 1, Census Tract 606, Suffolk County, Massachusetts",3621,279,3050,294,106,81,0,12,330,118,0,12,2,4,133,64,66,53,67,39
1500000US250251302003,"Block Group 3, Census Tract 1302, Suffolk County, Massachusetts",1584,306,1393,295,50,62,0,12,81,77,0,12,50,76,10,17,0,12,10,17
1500000US250250702002,"Block Group 2, Census Tract 702, Suffolk County, Massachusetts",1120,270,0,12,148,158,39,55,933,241,0,12,0,12,0,12,0,12,0,12
1500000US250251201053,"Block Group 3, Census Tract 1201.05, Suffolk County, Massachusetts",500,87,463,82,21,15,0,12,15,14,0,12,0,12,1,4,0,12,1,4
